1.434132e+05	9.724209e-05	2.292898e-04	1.148494e-06	9.980161e-02	9.354254e-02	-1.136217e-04	-nan	-0.000000e+00	-nan
1.912654e+05	4.061712e-04	1.491934e-04	1.825925e-06	9.721091e-02	9.211805e-02	3.090930e-04	-nan	-0.000000e+00	-nan
2.390698e+05	5.146532e-08	1.604692e-08	9.054072e-07	9.548377e-02	9.125297e-02	-2.879111e-13	-nan	-0.000000e+00	-nan
2.868743e+05	3.114970e-08	1.741458e-08	9.267156e-07	9.390056e-02	9.016966e-02	-2.208240e-13	-nan	-0.000000e+00	-nan
3.346309e+05	4.295932e-08	2.091724e-08	1.454785e-08	9.274914e-02	8.945516e-02	8.114516e-14	-nan	-0.000000e+00	-nan
3.824353e+05	5.310473e-08	1.424279e-08	1.678931e-08	9.231736e-02	8.914488e-02	-3.473684e-13	-nan	-0.000000e+00	-nan
0.000000e+00	0.000000e+00	1.521044e-18	0.000000e+00	5.346797e-01	3.698004e-01	0.000000e+00	-nan	-0.000000e+00	-nan
4.785221e+04	5.985474e-08	2.181474e-08	8.925588e-07	1.302045e-01	1.120374e-01	2.104334e-13	0.000000e+00	-0.000000e+00	2.104334e-13
9.560882e+04	5.973727e-08	2.753324e-08	4.266857e-09	1.110956e-01	1.007268e-01	-3.376003e-14	0.000000e+00	-0.000000e+00	-3.376003e-14
1.434132e+05	4.863779e-08	2.370344e-08	6.718727e-09	1.034702e-01	9.607480e-02	6.488578e-15	0.000000e+00	-0.000000e+00	6.488578e-15
1.912654e+05	5.124736e-08	2.946238e-08	9.051363e-07	9.987479e-02	9.390627e-02	-2.146903e-13	0.000000e+00	-0.000000e+00	-2.146903e-13
2.390698e+05	4.564016e-08	2.401935e-08	8.752351e-07	9.800373e-02	9.296993e-02	-1.181590e-13	0.000000e+00	-0.000000e+00	-1.181590e-13
2.868743e+05	5.849689e-08	3.079612e-08	9.012200e-07	9.634996e-02	9.179181e-02	1.882742e-13	0.000000e+00	-0.000000e+00	1.882742e-13
3.346309e+05	6.698663e-08	2.829853e-08	1.720517e-08	9.534246e-02	9.118690e-02	1.638403e-12	0.000000e+00	-0.000000e+00	1.638403e-12
3.824353e+05	3.672787e-08	2.589962e-08	1.724757e-08	9.404711e-02	9.051825e-02	2.188076e-13	0.000000e+00	-0.000000e+00	2.188076e-13
0.000000e+00	0.000000e+00	1.519825e-18	0.000000e+00	5.338162e-01	3.711196e-01	0.000000e+00	-nan	-0.000000e+00	-nan
4.785221e+04	6.786028e-08	4.061097e-08	9.234543e-07	4.245873e-02	2.512079e-02	-8.318324e-13	-nan	-nan	-nan
9.560882e+04	7.383154e-08	4.301348e-08	1.232463e-09	2.633880e-02	1.566980e-02	-6.760553e-13	-nan	-nan	-nan
